,,AMB/92,,,
23020024,Dilatacao de Esofago Com Ogivas,,280,1,0
23020032,Dilatacao de Esofago Com Balao Pneumatico,,230,1,0
23020040,Dilatacao de Esofago Com Velas (Por Sessao),,180,1,0
23020059,Esclerose de Varizes Esofageanas (Por Sessao),,280,1,0
23020067,Introducao Endoscopica de Proteses Esofageanas,,580,1,0
23020075,"Polipectomia de Esofago, Estomago Ou Duodeno",,480,1,0
23020083,Papilotomia Endoscopica P/ Retirada de Calculos,,1200,1,0
23020091,Polipectomia de Colon,,600,1,0
23020105,Retirada Corpo Estranho (Esofago/Estomago/Duod),,330,1,0
23020113,Diverticulectomia do Esofago,,580,1,0
23020121,Gastrostomia Endoscopica,,580,1,0
23020130,Passagem de Sondas Por Endoscopia,,340,1,0
23020148,Biopsia Ou Citologia P/Endoscopia Alta Ou Baixa,,50,1,0
23020156,ESVAZ. DE LIQ. ASCITICO,,180,0,0
23020164,Lise de Bridas Por Laparoscopia,,380,1,0
23020172,Hemostasia Por Laparoscopia,,380,1,0
23020180,Drenagem Cavitaria Por Laparoscopia,,380,1,0
23020199,Biopsias Por Laparoscopia,,180,1,0
23020202,RETIR.DE CORPO ESTRAN.COLON,,430,,0
23020210,HEMOSTASIA DO COLON,,380,0,0
23020229,DESCOMPRESSAO COLONICA,,600,0,0
23020237,TAMPONAMENTO VARIZES ESOFAGO,,200,0,0
23020245,HEMOSTASIA ESOFAGO/ESTOM/DUOD,,380,0,0
24010014,Laringoscopia Direta P/Diagnostico ou Colheita,,200,0,0
24010022,Laringoscopia Direta C/Retirada Corpo Estranho,,300,0,0
24010030,Laringoscopia Direta C/Exerese de Polipo/Nodulo,,320,0,1
24010049,Laringoscopia Direta C/ Microscopia P/Exereses,,400,0,1
24010057,Laringoscopia Direta C/ Microscopia P/Exereses,,500,0,1
24010065,Laringoscopia C/ Laser P/ Exerese de Papilomas,,600,0,2
24010073,Laringoscopia Direta C/ Dilatacao P/ Estenose,,200,0,1
24020010,Traqueoscopia P/ Diagnostico/Colheita Material,,240,,
24020028,Traqueoscopia Com Retirada de Corpo Estranho,,320,,
24020036,Traqueoscopia Com Retirada de Papiloma,,400,,
24020044,Traqueoscopia C/ Dilatacao Para Estenoseo,,240,,
24030015,Broncoscopia Ou Broncofibroscopia Diagnostica,,300,,
24030023,Broncoscopia C/ Retirada de Corpo Estranho,,320,,
24030031,Broncoscopia C/ Retirada de Papiloma,,450,,
24030040,Broncofibroscopia Com Biopsia Transbronquica,,500,,
24030058,Broncoscopia C/ Dilatacao Para Estenose,,240,,
24030066,Broncografia (Por Hemitorax),,400,,
24030074,Bronc.Flexivel p/Diagnostico,,400,,
24030082,Bronc.Flex.p/Ret.de Corpo Estranho,,400,,
24030090,Bronc.Flex.c/Lav.Broncoalveolar,,500,,
24030104,Bronc.Flex.p/Exer.Endosc.Tumor,,600,,
25010018,Cronaximetria,,60,0,0
25010026,Curva I/T,,68,0,0
25010034,Eletrodiagnostico,,45,0,0
25010050,Exame Muscular,,45,0,0
25010069,Teste de Heald,,40,0,0
25010077,Pesquisa Eletroneuromiografica,,300,0,0
25010085,Potencial Evocado Auditivo,,250,0,0
25010093,Pot.Evocado Somato - Sensitivo,,250,0,0
25010107,Potencial Evocado Visual,,300,0,0
25010115,Biofeedback com EMG,,100,0,0
25020013,Fisioterapia em Ataxias,,28,0,0
25020021,Fisioterapia em Distrofia Simpatico Reflexo,,40,0,0
25020030,Fisioterapia em Hemiplegia e Hemiparesia,,40,0,0
25020048,Fisioterapia em Lesao Nervosa Periferica,,32,0,0
25020064,Fisioterapia em Miopatias,,50,0,0
25020072,Fisioterapia em Monoplegia,,28,0,0
25020080,Fisioterapia em Paraplegia e Paraparesia,,60,0,0
25020099,Fisioterapia em Paralisia Cerebral (Trat.Motor),,50,0,0
25020102,Fisioterapia Paralisia Cerebral (Trat.Global),,60,0,0
25020110,Fisioterapia em Molestia de Parkinson,,40,0,0
25020129,Fisioterapia em Quadriplegia e Quadriparesia,,60,0,0
25020137,Fisioterapia em Retardo Desenvolv. Psico-Motor,,50,0,0
25020145,Fisioterapia em Retardo Desenvolv. Psico_Motor,,32,0,0
25020153,Assistencia Fisiatrica em Neurologia,,70,0,0
25030019,Fisioterapia em Disturbios Circulatorios,,28,0,0
25040014,Assistencia Fisiatrica Respiratoria,,30,0,0
25040022,Assistencia Fisiatrica Respiratoria,,32,0,0
25040030,Fisioterapia Respiratoria Em Pre/Pos-Operatorio,,30,0,0
25040049,Fisioterapia em Doencas Pulmonares,,28,0,0
25040057,Fisioterapia em Paciente Com D.P.O.C.,,32,0,0
25050010,Fisioterapia em Reumatologia (1 Membro),,28,0,0
25050028,Fisioterapia em Reumatologia (+ De Um Membro),,50,0,0
25050036,Fisioterapia em um Segmento da Coluna Vertebral,,28,0,0
25050044,Fisioterapia em mais de 1 Seg.Col. Vert.,,50,0,0
25050052,Fisioterpia p/ Coluna Vertebral e Membros,,50,0,0
25060015,Fisioterapia Para Amputacao Unilateral,,32,0,0
25060023,Fisioterapia Para Amputacao Bilateral,,50,0,0
25060031,Fisioterapia Para Contusoes,,28,0,0
25060040,Fisioterapia Desvios Posturais Coluna Vertebral,,40,0,0
25060058,Fisioterapia Para Entorses,,28,0,0
25060066,Fisioterapia Pos-Operatoria/Imobiliz. 1 membro,,40,0,0
25060074,Fisioterapia Pos-Operat./Imobiliz.+ de 1 membro,,50,0,0
25060082,Fisioterapia Pos-Operatoria/Imobiliz. De Coluna,,28,0,0
25060090,Fisioterapia de Articulacao Temporo-Mandibular,,28,0,0
25060104,Fisioterapia P/ Sequela de Traumatismos Tendoes,,35,0,0
25060112,Fisioterapia P/ Sequela de Traumatismos Torax,,28,0,0
25060120,Fisioterapia P/ Queimaduras de + de Uma Regiao,,50,0,0
25060139,Fisioterapia Ortopedica de um membro,,28,0,0
25060147,Fisioterapia Ortopedica demais de um membro,,50,0,0
25060155,Amputacao Unilateral (Treinamento Protetico),,50,0,0
25060163,Amputacao Bilateral (Treinamento Protetico),,60,0,0
25060171,Fisioterapia Pos-Operat./Imobiliz. de 1 membro,,45,0,0
25060180,Fisioterapia Pos-Operat./Imobiliz. +De 1 membro,,55,0,0
25060198,Fisioterapia P/ Hipo ou Agenesia de Membros,,40,0,0
25070010,Fisioterapia P/ Doenca Isquemica do Coracao,,35,0,0
25070029,Fisioterapia P/ Doenca Isquemica do Coracao,,30,0,0
25070037,Fisioterapia Pos-Operatoria Imediata de Coracao,,35,0,0
25070045,Fisioterapia Pos-Operatoria de Coracao,,30,0,0
25070053,Fisioterapia Em Portador de Cardiopatia,,25,0,0
25070061,Fisioterapia Em Pacientes de Risco Coronariano,,20,0,0
25080016,Fisioterapia Em Doencas Dermatologicas (DEM),,25,0,0
25090011,Fisiaterapia Pre/Pos-Operatoria em Neurologia,,32,0,0
25090020,Confeccao de Protese Imediata (Honorarios),,300,0,0
25090038,Confeccao de Protese Provisoria,,250,0,0
25090046,Bloq.Fenolico Pontos Motores,,175,0,0
25090054,Bloqueio Anestesico Simpatico,,175,0,0
25090062,Infilt. Artic. Tecidos Moles,,60,0,0
25090070,Atividade Reflexa,,100,0,0
25100017,Fisioterapia em Doencas Urologicas,,15,0,0
25100025,Fisioterapia em Processo Inflamatorio Pelvico,,15,0,0
25100033,Atendimento Fisiatrico No Pre e Pos Parto,,32,0,0
25100041,Fisioterapia p/ Sinusites,,15,0,0
26020017,Cariotipo Simples (Sangue/Medula),,250,0,0
26020025,Cariotipo Com Bandas (Sangue/Medula),,400,0,0
26020033,Carotipo Com Bandas: Liq. Amiotico/Pele/Embriao,,700,0,0
26020041,Cromatina Sexual X: Saliva/Urina/Liq. Amniotico,,30,0,0
26020050,Dermatoglifo,,20,0,0
27020010,Unidade de Concentrado de Hemacias,,65,0,0
27020037,Unidade de Concentrado de Leucocitos,,30,0,0
27020045,Unidade de Concentrado de Plaquetas,,30,0,0
27020053,Unidade de Crioprecipitado de Fator Antihemofil,,30,0,0
27020061,Unidade De Plasma,,45,0,0
27020070,Unidade de Sangue Total,,110,0,0
27020088,Plasmaferese Terapeutica c/1 Unidade de Plasma,,100,0,0
27020096,Sangria Terapeutica,,75,0,0
27030016,Exsanguineo Transfusao,,300,0,0
27030024,Transfusao Fetal Intrauterina,,300,0,0
27030032,Processadora Automatica de Sangue Em Aferese,,300,0,0
27030040,Processadora Automatica Sangue: AutoTransfusao,,500,0,0
27030059,Honorarios Medicos Transfusional,,30,0,0
27040011,Antigeno Australia HA Por Unidade de Sangue,,22,0,0
27040020,Antigeno Australia P/ Componente Hemoterapico,,11,0,0
27040038,Antigeno Australia RIE Por Unidade de Sangue,,50,0,0
27040046,Antigeno Australia RIE Por Comp. Hemoterapico,,25,0,0
27040054,Chagas HA Por Unidade de Sangue Total,,22,0,0
27040062,Chagas HA Por Componente Hemoterapico,,11,0,0
27040070,Chagas IFI Por Unidade de Sangue Total,,30,0,0
27040089,Chagas IFI Por Componente Hemoterapico,,15,0,0
27040097,Chagas RFC Por Unidade de Sangue Total,,60,0,0
27040100,Chagas RFC Por Componente Hemoterapico,,30,0,0
27040119,Chagas Machado Guerreiro Por Unidade de Sangue,,22,0,0
27040127,Chagas Machado Guerreiro P/Compon. Hemoterapico,,11,0,0
27040135,Eletroforese de Hemoglobina P/Unidade de Sangue,,27,0,0
27040143,Eletroforese Hemoglobina P/ Compon.Hemoterapico,,14,0,0
27040151,Determinacao do Grupo Sanguineo ABO e Rh,,30,0,0
27040160,"Kit, Material Descartavel p/ Hemoterapia",,1500,0,0
27040178,Malaria IFI Por Unidade de Sangue Total,,30,0,0
27040186,Malaria IFI Por Componente Hemoterapico,,15,0,0
27040194,Pesquisa de Anticorpos Sericos Irregulares,,40,0,0
27040208,Pesquisa de Anti-HBc Por Unidade De Sangue,,60,0,0
27040216,Pesquisa de Anti-HBc P/ Componente Hemoterapico,,30,0,0
27040224,Pesquisa de Anti-Hiv EIE Por Unidade de Sangue,,150,0,0
27040232,Pesquisa de Anti-Hiv EIE P/Compon. Hemoterapico,,75,0,0
27040240,Prova de Compatibilidade Pre Transfusinal,,30,0,0
27040259,Lues FTA-ABS Por Unidade de Sangue Total,,30,0,0
27040267,Lues FTA-ABS Por Componente Hemoterapico,,15,0,0
27040275,Lues HA Por Unidade de Sangue Total,,27,0,0
27040283,Lues HA Por Componente Hemoterapico,,14,0,0
27040291,Lues VDRL Por Unidade de Sangue Total,,10,0,0
27040305,Lues VDRL Por Componente Hemoterapico,,5,0,0
27040313,"Lues VDRL, HA e FTA-ABS Por Unidade de Sangue",,60,0,0
27040321,"Lues VDRL, HA e FTA-ABS P/Compon. Hemoterapico",,30,0,0
27040330,Taxa de Irradiacao de Unidade Hemoterapica,,70,0,0
27040348,Taxa de Utilizacao de Bolsa Plastica P/ Unidade,,40,0,0
27040356,Taxa de Utilizacao de Descartaveis P/ Aplicacao,,20,0,0
27040364,Teste de Coombs Direto,,20,0,0
27040372,Teste de Coombs Indireto,,30,0,0
27040380,Transaminase Piruvica Por Unidade de Sangue,,14,0,0
27040399,Transaminase Piruvica P/ Compon. Hemoterapico,,7,0,0
27040402,Chagas EIE p/unid.Sangue Total,,60,0,0
27040410,Chagas EIE p/comp.Hemoterapico,,30,0,0
27040429,Pesq.Anti-HCV p/Unid.Sangue Total,,200,0,0
27040437,Pesq.Anti-HCV p/Comp.Hemoterapico,,100,0,0
27040445,Pesq.Anti-HTLV-I+HTLV-II Sangue Total,,200,0,0
27040453,Pesq.Anti-HTLV-I p/Comp.Hemoterapico,,100,0,0
27040461,Taxa Deleucotizacao p/Componente,,150,0,0
27040470,Biopsia p/Agulha de Medula Ossea,,150,0,0
28010027,Dosagem de Acido Ascorbico,,14,0,0
28010035,Dosagem de Acido Citrico,,14,0,0
28010051,Dosagem de Acido 2-3-Difosfoglicerico,,20,0,0
28010060,Dosagem de Acido Folico (RIE),,85,0,0
28010078,Dosagem de Acido Glioxilico,,30,0,0
28010086,Dosagem de Acidos Graxos Esterificados,,15,0,0
28010116,Dosagem de Acido Latico,,30,0,0
28010132,Dosagem de Acido Oxalico,,30,0,0
28010140,Dosagem de Acido Piruvico,,30,0,0
28010159,Dosagem de Acido Sialico,,30,0,0
28010175,Dosagem de Acido Urico,,14,0,0
28010183,Dosagem de Acido Valproico,,150,0,0
28010205,Dosagem de Aldolase,,27,0,0
28010213,Dosagem de Alfa-Fetoproteina (IDR/RIE),,125,0,0
28010221,Dosagem de Alfa-1-Antitripsina,,40,0,0
28010230,Dosagem de Alfa-1-Glicoproteina Acida,,40,0,0
28010248,Dosagem de Alfa-2-Macroglobulina,,40,0,0
28010256,Dosagem de Amilase,,14,0,0
28010264,Dosagem de Amonia,,30,0,0
28010272,Dosagem de Beta-Glicuronidase,,17,0,0
28010299,Dosagem de Bilirrubina Total e Fracoes,,15,0,0
28010302,"Bromossulfaleina, Prova de",,53,0,0
28010329,Dosagem de Calcio,,14,0,0
28010337,Dosagem de Calcio Ionizavel,,40,0,0
28010345,Dosagem de Capacidade de Fixacao de Ferro,,14,0,0
28010353,Dosagem de Carbamazepina (EIE),,150,0,0
28010361,Dosagem de Caroteno,,20,0,0
28010370,Dosagem de Ceruloplasmina,,40,0,0
28010396,Dosagem de Cistina,,20,0,0
28010400,Clearance de Acido Urico,,25,0,0
28010418,Clearance de Agua Livre,,25,0,0
28010426,Clearance de Creatinina,,25,0,0
28010434,Clearance de Fosfato,,25,0,0
28010442,Clearance Osmolar,,25,0,0
28010450,Clearance de Ureia,,25,0,0
28010469,Dosagem de Cloro,,14,0,0
28010477,Dosagem de Cloro Hematico,,30,0,0
28010485,Dosagem de Cobre,,30,0,0
28010493,Dosagem de Colesterol (HDL),,30,0,0
28010507,Dosagem de Colesterol Total,,14,0,0
28010515,Dosagem de Colesterol Esterificado,,17,0,0
28010523,Dosagem de Colinesterase,,20,0,0
28010531,Dosagem de Creatina,,20,0,0
28010540,Dosagem de Creatinina,,14,0,0
28010558,Dosagem de Creatino Fosfoquinase,,50,0,0
28010566,Dosagem de Creatino Fosfoquinase - Fracao Mb,,100,0,0
28010582,Curva Glicemica Classica (5 Dosagens),,75,0,0
28010604,Curva Glicemica (4 Dosagens),,65,0,0
28010620,Dosagem de Desidrogenase Alfa-Hidroxibutirica,,40,0,0
28010639,Dosagem de Desidrogenase Glutamica,,40,0,0
28010647,Dosagem de Desidrogenase Isocitrica,,40,0,0
28010655,Dosagem de Desidrogenase Latica,,30,0,0
28010663,Desidrogenase Latica - Isoenzimas Fracionadas,,100,0,0
28010671,Dosagem de Diazepan,,150,0,0
28010680,Dosagem de Digitoxina (Rie),,150,0,0
28010698,Dosagem de Digoxina (Rie/Eie),,70,0,0
28010701,"D-Xilose, Prova da",,80,0,0
28010710,Eletroforese de Glicoproteinas,,40,0,0
28010728,Eletroforese de Lipoproteinas,,40,0,0
28010736,Eletroforese de Proteinas,,40,0,0
28010744,Dosagem de Etosuximida (Eie),,150,0,0
28010752,Dosagem de Fenitoina (Eie),,150,0,0
28010760,Dosagem de Fenobarbital (Eie),,150,0,0
28010795,Dosagem de Ferritina,,125,0,0
28010809,Dosagem de Ferro Serico (No Sangue),,18,0,0
28010817,Dosagem de Formaldeido,,20,0,0
28010825,Dosagem da Fosfatase Acida Total,,18,0,0
28010833,Dosagem da Fosfatase Acida Fracao Prostatica,,22,0,0
28010841,Dosagem da Fosfatase Acida Prostatica (Rie),,50,0,0
28010850,Dosagem da Fosfatase Alcalina,,18,0,0
28010868,Fosfatase Alcalina C/ Fracionamento Isoenzima,,55,0,0
28010884,Dosagem de Fosfolipidios,,15,0,0
28010892,Dosagem de Fosforo,,14,0,0
28010906,"Fosforo, Prova de Reabsorsao Tubular do",,20,0,0
28010914,Dosagem da Frutose,,14,0,0
28010949,Dosagem de Gama-Globulina (Kunkel),,10,0,0
28010957,Dosagem da Gama-Glutamil Transferase,,20,0,0
28010965,"Gasometria (Ph, Pco2, Po2, Bic., Etc.)",,67,0,0
28010973,Dosagem de Glicose,,14,0,0
28010981,Dosagem da Glicose-6-Fosfato-Desidrogenase,,30,0,0
28011007,"Hanger (Cefalina-Colesterol), Reacao de",,10,0,0
28011015,Dosagem de Haptoglobina,,40,0,0
28011023,Dosagem da Hemoglobina Glicosilada,,45,0,0
28011031,Dosagem da Hemoglobina Plasmatica Livre,,20,0,0
28011040,Dosagem da Hidroxiprolina,,40,0,0
28011058,Dosagem da Isomerase Fosfohexose,,27,0,0
28011066,"Kunkel (Sulfato de Zinco), Reacao de",,10,0,0
28011074,Dosagem da Leucino Aminopeptidase,,20,0,0
28011082,Dosagem da Lipase,,15,0,0
28011090,Dosagem de Lipidios Totais,,10,0,0
28011104,Lipidograma Completo,,70,0,0
28011112,Dosagem de Litio,,20,0,0
28011120,Dosagem de Magnesio,,16,0,0
28011139,Dosagem de Mucoproteinas,,15,0,0
28011155,Dosagem de Nitrogenio Amoniacal,,20,0,0
28011163,Dosagem de Nitrogenio Total,,27,0,0
28011171,Dosagem de 5-Nucleotidase,,20,0,0
28011180,"Osmolalidade, Teste",,30,0,0
28011201,"Porfirinas Quantitativas, Cada Dosagem",,18,0,0
28011210,Dosagem de Potassio,,14,0,0
28011228,Dosagem de Potassio Hematico,,14,0,0
28011236,Dosagem de Primidona (Eie),,150,0,0
28011244,Dosagem de Proteinas Totais e Fracoes,,15,0,0
28011252,"Reserva Alcalina (Bicarbonato), Teste",,14,0,0
28011260,Dosagem de Salicilatos,,14,0,0
28011279,Dosagem de Sodio,,14,0,0
28011287,Dosagem de Sodio Hematico,,14,0,0
28011309,Dosagem de Sulfatos,,18,0,0
28011317,Sulfonamidas Livre e Acetilada % de Acetilacao,,18,0,0
28011325,Teste de Tolerancia A Insulina/Hipoglicemiante,,90,0,0
28011333,Dosagem de Teofilina (Eie),,150,0,0
28011341,"Timol (Turvacao e Floculacao), Reacao do",,10,0,0
28011368,Dosagem da Transamisase Oxalacetica (TGO),,14,0,0
28011376,Dosagem da Transaminase Piruvica (TGP),,14,0,0
28011384,Dosagem da Transferrina,,60,0,0
28011392,Dosagem de Trigliceridios,,20,0,0
28011414,Dosagem de Ureia,,14,0,0
28011422,Dosagem de Urobilinogenio,,10,0,0
28011449,Dosagem da Vitamina B-12 (Rie),,85,0,0
28011457,"Weltmam, Reacao de",,14,0,0
28011481,Acido Fenilpiruvico Ou Fenilanina (Sangue),,50,0,0
28011490,Dosagem de Aluminio,,150,0,0
28011503,Dos. Antibioticos (Gentamicina/Amoxacilina etc),,100,0,0
28011511,Dosagem de Colesterol LDL,,40,0,0
28011520,Dosagem de Colesterol VLDL,,30,0,0
28011538,Curva Glicenica Prolongada (7 Dosagens) Oral,,100,0,0
28011546,Curva de Triglicerideos (3 Dosagens),,80,0,0
28011554,Dosagem de Frutosaminas Proteinas Glicosiladas,,45,0,0
28011562,Glicemia Apos Sobrecarga Com Dextrosol,,30,0,0
28011570,Lactose; Teste de Tolerancia,,80,0,0
28011589,Maltose; Teste de Tolerancia,,80,0,0
28011597,Mucopolissacaridose; Pesquisa de,,20,0,0
